h1 ping -c100 h3
PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_req=27 ttl=64 time=23.2 ms
64 bytes from 10.0.0.3: icmp_req=28 ttl=64 time=54.5 ms
64 bytes from 10.0.0.3: icmp_req=29 ttl=64 time=32.8 ms
64 bytes from 10.0.0.3: icmp_req=30 ttl=64 time=34.2 ms
64 bytes from 10.0.0.3: icmp_req=31 ttl=64 time=49.0 ms
64 bytes from 10.0.0.3: icmp_req=32 ttl=64 time=33.8 ms
64 bytes from 10.0.0.3: icmp_req=33 ttl=64 time=31.4 ms
64 bytes from 10.0.0.3: icmp_req=34 ttl=64 time=46.6 ms
64 bytes from 10.0.0.3: icmp_req=35 ttl=64 time=12.3 ms
64 bytes from 10.0.0.3: icmp_req=36 ttl=64 time=26.1 ms
64 bytes from 10.0.0.3: icmp_req=37 ttl=64 time=39.7 ms
64 bytes from 10.0.0.3: icmp_req=38 ttl=64 time=6.24 ms
64 bytes from 10.0.0.3: icmp_req=39 ttl=64 time=56.5 ms
64 bytes from 10.0.0.3: icmp_req=40 ttl=64 time=52.6 ms
64 bytes from 10.0.0.3: icmp_req=41 ttl=64 time=37.0 ms
64 bytes from 10.0.0.3: icmp_req=42 ttl=64 time=18.6 ms
64 bytes from 10.0.0.3: icmp_req=43 ttl=64 time=33.0 ms
64 bytes from 10.0.0.3: icmp_req=44 ttl=64 time=47.1 ms
64 bytes from 10.0.0.3: icmp_req=45 ttl=64 time=8.06 ms
64 bytes from 10.0.0.3: icmp_req=46 ttl=64 time=20.9 ms
64 bytes from 10.0.0.3: icmp_req=47 ttl=64 time=19.9 ms
64 bytes from 10.0.0.3: icmp_req=48 ttl=64 time=39.1 ms
64 bytes from 10.0.0.3: icmp_req=49 ttl=64 time=38.7 ms
64 bytes from 10.0.0.3: icmp_req=50 ttl=64 time=64.5 ms
64 bytes from 10.0.0.3: icmp_req=51 ttl=64 time=45.3 ms
64 bytes from 10.0.0.3: icmp_req=52 ttl=64 time=13.2 ms
64 bytes from 10.0.0.3: icmp_req=53 ttl=64 time=30.1 ms
64 bytes from 10.0.0.3: icmp_req=54 ttl=64 time=47.1 ms
64 bytes from 10.0.0.3: icmp_req=55 ttl=64 time=15.9 ms
64 bytes from 10.0.0.3: icmp_req=56 ttl=64 time=29.1 ms
64 bytes from 10.0.0.3: icmp_req=57 ttl=64 time=23.7 ms
64 bytes from 10.0.0.3: icmp_req=58 ttl=64 time=53.5 ms
64 bytes from 10.0.0.3: icmp_req=59 ttl=64 time=55.6 ms
64 bytes from 10.0.0.3: icmp_req=60 ttl=64 time=41.4 ms
64 bytes from 10.0.0.3: icmp_req=61 ttl=64 time=53.3 ms
64 bytes from 10.0.0.3: icmp_req=62 ttl=64 time=17.5 ms
