 h1 ping -c100 h4
 PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
 64 bytes from 10.0.0.4: icmp_req=39 ttl=64 time=45.1 ms
 64 bytes from 10.0.0.4: icmp_req=40 ttl=64 time=13.8 ms
 64 bytes from 10.0.0.4: icmp_req=41 ttl=64 time=28.6 ms
 64 bytes from 10.0.0.4: icmp_req=42 ttl=64 time=51.2 ms
 64 bytes from 10.0.0.4: icmp_req=43 ttl=64 time=10.0 ms
 64 bytes from 10.0.0.4: icmp_req=44 ttl=64 time=34.1 ms
 64 bytes from 10.0.0.4: icmp_req=45 ttl=64 time=18.3 ms
 64 bytes from 10.0.0.4: icmp_req=46 ttl=64 time=17.0 ms
 64 bytes from 10.0.0.4: icmp_req=47 ttl=64 time=12.1 ms
 64 bytes from 10.0.0.4: icmp_req=48 ttl=64 time=52.8 ms
 64 bytes from 10.0.0.4: icmp_req=49 ttl=64 time=10.9 ms
 64 bytes from 10.0.0.4: icmp_req=50 ttl=64 time=30.5 ms
 64 bytes from 10.0.0.4: icmp_req=51 ttl=64 time=43.4 ms
 64 bytes from 10.0.0.4: icmp_req=52 ttl=64 time=11.3 ms
 64 bytes from 10.0.0.4: icmp_req=53 ttl=64 time=29.4 ms
 64 bytes from 10.0.0.4: icmp_req=54 ttl=64 time=31.5 ms
 64 bytes from 10.0.0.4: icmp_req=55 ttl=64 time=47.3 ms
 64 bytes from 10.0.0.4: icmp_req=56 ttl=64 time=12.5 ms
 64 bytes from 10.0.0.4: icmp_req=57 ttl=64 time=10.6 ms
 64 bytes from 10.0.0.4: icmp_req=58 ttl=64 time=54.1 ms
 64 bytes from 10.0.0.4: icmp_req=59 ttl=64 time=48.2 ms
 64 bytes from 10.0.0.4: icmp_req=60 ttl=64 time=8.23 ms
 64 bytes from 10.0.0.4: icmp_req=61 ttl=64 time=45.6 ms
 64 bytes from 10.0.0.4: icmp_req=62 ttl=64 time=15.8 ms
 64 bytes from 10.0.0.4: icmp_req=63 ttl=64 time=27.9 ms
 64 bytes from 10.0.0.4: icmp_req=64 ttl=64 time=41.1 ms
 64 bytes from 10.0.0.4: icmp_req=65 ttl=64 time=58.7 ms
 64 bytes from 10.0.0.4: icmp_req=66 ttl=64 time=8.97 ms
 64 bytes from 10.0.0.4: icmp_req=67 ttl=64 time=56.8 ms
 64 bytes from 10.0.0.4: icmp_req=68 ttl=64 time=57.7 ms
 64 bytes from 10.0.0.4: icmp_req=69 ttl=64 time=54.3 ms
 64 bytes from 10.0.0.4: icmp_req=70 ttl=64 time=17.5 ms
 64 bytes from 10.0.0.4: icmp_req=71 ttl=64 time=40.8 ms
 64 bytes from 10.0.0.4: icmp_req=72 ttl=64 time=9.71 ms
 64 bytes from 10.0.0.4: icmp_req=73 ttl=64 time=25.5 ms
 64 bytes from 10.0.0.4: icmp_req=74 ttl=64 time=58.4 ms
 64 bytes from 10.0.0.4: icmp_req=75 ttl=64 time=23.0 ms
 64 bytes from 10.0.0.4: icmp_req=76 ttl=64 time=39.2 ms
 64 bytes from 10.0.0.4: icmp_req=77 ttl=64 time=20.9 ms
 64 bytes from 10.0.0.4: icmp_req=78 ttl=64 time=16.7 ms
 64 bytes from 10.0.0.4: icmp_req=79 ttl=64 time=29.5 ms
 64 bytes from 10.0.0.4: icmp_req=80 ttl=64 time=33.2 ms
 64 bytes from 10.0.0.4: icmp_req=81 ttl=64 time=18.8 ms
 64 bytes from 10.0.0.4: icmp_req=82 ttl=64 time=37.6 ms
 64 bytes from 10.0.0.4: icmp_req=83 ttl=64 time=53.9 ms
 64 bytes from 10.0.0.4: icmp_req=84 ttl=64 time=35.9 ms
 64 bytes from 10.0.0.4: icmp_req=85 ttl=64 time=47.8 ms
 64 bytes from 10.0.0.4: icmp_req=86 ttl=64 time=14.3 ms
 64 bytes from 10.0.0.4: icmp_req=87 ttl=64 time=35.2 ms
 64 bytes from 10.0.0.4: icmp_req=88 ttl=64 time=30.2 ms
 64 bytes from 10.0.0.4: icmp_req=89 ttl=64 time=43.8 ms
 64 bytes from 10.0.0.4: icmp_req=90 ttl=64 time=31.9 ms
 64 bytes from 10.0.0.4: icmp_req=91 ttl=64 time=22.6 ms
 64 bytes from 10.0.0.4: icmp_req=92 ttl=64 time=34.3 ms
 64 bytes from 10.0.0.4: icmp_req=93 ttl=64 time=88.2 ms
 64 bytes from 10.0.0.4: icmp_req=94 ttl=64 time=33.3 ms
 64 bytes from 10.0.0.4: icmp_req=95 ttl=64 time=50.4 ms
 64 bytes from 10.0.0.4: icmp_req=96 ttl=64 time=14.2 ms
 64 bytes from 10.0.0.4: icmp_req=97 ttl=64 time=32.8 ms
 64 bytes from 10.0.0.4: icmp_req=98 ttl=64 time=33.0 ms
 64 bytes from 10.0.0.4: icmp_req=99 ttl=64 time=11.6 ms
 64 bytes from 10.0.0.4: icmp_req=100 ttl=64 time=42.4 ms
