h1 ping -c100 h2

PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_req=1 ttl=64 time=44.9 ms
64 bytes from 10.0.0.2: icmp_req=2 ttl=64 time=0.346 ms
64 bytes from 10.0.0.2: icmp_req=3 ttl=64 time=0.056 ms
64 bytes from 10.0.0.2: icmp_req=4 ttl=64 time=0.094 ms
64 bytes from 10.0.0.2: icmp_req=5 ttl=64 time=0.143 ms
64 bytes from 10.0.0.2: icmp_req=6 ttl=64 time=0.087 ms
64 bytes from 10.0.0.2: icmp_req=7 ttl=64 time=0.090 ms
64 bytes from 10.0.0.2: icmp_req=8 ttl=64 time=0.191 ms
64 bytes from 10.0.0.2: icmp_req=9 ttl=64 time=0.091 ms
64 bytes from 10.0.0.2: icmp_req=10 ttl=64 time=0.091 ms
64 bytes from 10.0.0.2: icmp_req=11 ttl=64 time=0.077 ms
64 bytes from 10.0.0.2: icmp_req=12 ttl=64 time=0.087 ms
64 bytes from 10.0.0.2: icmp_req=13 ttl=64 time=0.091 ms
64 bytes from 10.0.0.2: icmp_req=14 ttl=64 time=0.094 ms
64 bytes from 10.0.0.2: icmp_req=15 ttl=64 time=0.097 ms
64 bytes from 10.0.0.2: icmp_req=16 ttl=64 time=0.110 ms
64 bytes from 10.0.0.2: icmp_req=17 ttl=64 time=0.089 ms
64 bytes from 10.0.0.2: icmp_req=18 ttl=64 time=0.090 ms
64 bytes from 10.0.0.2: icmp_req=19 ttl=64 time=0.205 ms
64 bytes from 10.0.0.2: icmp_req=20 ttl=64 time=0.086 ms
64 bytes from 10.0.0.2: icmp_req=21 ttl=64 time=0.091 ms
64 bytes from 10.0.0.2: icmp_req=22 ttl=64 time=0.157 ms
64 bytes from 10.0.0.2: icmp_req=23 ttl=64 time=0.085 ms
64 bytes from 10.0.0.2: icmp_req=24 ttl=64 time=0.094 ms
64 bytes from 10.0.0.2: icmp_req=25 ttl=64 time=0.090 ms
64 bytes from 10.0.0.2: icmp_req=26 ttl=64 time=0.118 ms
64 bytes from 10.0.0.2: icmp_req=27 ttl=64 time=0.086 ms
64 bytes from 10.0.0.2: icmp_req=28 ttl=64 time=0.102 ms
64 bytes from 10.0.0.2: icmp_req=29 ttl=64 time=0.080 ms
64 bytes from 10.0.0.2: icmp_req=30 ttl=64 time=0.091 ms
64 bytes from 10.0.0.2: icmp_req=31 ttl=64 time=0.196 ms
64 bytes from 10.0.0.2: icmp_req=32 ttl=64 time=0.085 ms
64 bytes from 10.0.0.2: icmp_req=33 ttl=64 time=0.088 ms
64 bytes from 10.0.0.2: icmp_req=34 ttl=64 time=0.177 ms
64 bytes from 10.0.0.2: icmp_req=35 ttl=64 time=0.086 ms
64 bytes from 10.0.0.2: icmp_req=36 ttl=64 time=0.083 ms
