h1 ping -c100 h2

PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_req=1 ttl=64 time=36.3 ms
64 bytes from 10.0.0.2: icmp_req=2 ttl=64 time=0.445 ms
64 bytes from 10.0.0.2: icmp_req=3 ttl=64 time=0.083 ms
64 bytes from 10.0.0.2: icmp_req=4 ttl=64 time=0.075 ms
64 bytes from 10.0.0.2: icmp_req=5 ttl=64 time=0.083 ms
64 bytes from 10.0.0.2: icmp_req=6 ttl=64 time=0.069 ms
64 bytes from 10.0.0.2: icmp_req=7 ttl=64 time=0.101 ms
64 bytes from 10.0.0.2: icmp_req=8 ttl=64 time=0.102 ms
64 bytes from 10.0.0.2: icmp_req=9 ttl=64 time=0.101 ms
64 bytes from 10.0.0.2: icmp_req=10 ttl=64 time=0.043 ms
64 bytes from 10.0.0.2: icmp_req=11 ttl=64 time=0.092 ms
64 bytes from 10.0.0.2: icmp_req=12 ttl=64 time=0.081 ms
64 bytes from 10.0.0.2: icmp_req=13 ttl=64 time=9.67 ms
64 bytes from 10.0.0.2: icmp_req=14 ttl=64 time=0.551 ms
64 bytes from 10.0.0.2: icmp_req=15 ttl=64 time=0.091 ms
64 bytes from 10.0.0.2: icmp_req=16 ttl=64 time=0.074 ms
64 bytes from 10.0.0.2: icmp_req=17 ttl=64 time=0.106 ms
64 bytes from 10.0.0.2: icmp_req=18 ttl=64 time=0.090 ms
64 bytes from 10.0.0.2: icmp_req=19 ttl=64 time=0.187 ms
64 bytes from 10.0.0.2: icmp_req=20 ttl=64 time=0.091 ms
64 bytes from 10.0.0.2: icmp_req=21 ttl=64 time=0.092 ms
64 bytes from 10.0.0.2: icmp_req=22 ttl=64 time=0.091 ms
64 bytes from 10.0.0.2: icmp_req=23 ttl=64 time=0.091 ms
64 bytes from 10.0.0.2: icmp_req=24 ttl=64 time=14.2 ms
64 bytes from 10.0.0.2: icmp_req=25 ttl=64 time=0.452 ms
64 bytes from 10.0.0.2: icmp_req=26 ttl=64 time=0.084 ms
64 bytes from 10.0.0.2: icmp_req=27 ttl=64 time=0.095 ms
64 bytes from 10.0.0.2: icmp_req=28 ttl=64 time=0.139 ms
64 bytes from 10.0.0.2: icmp_req=29 ttl=64 time=0.060 ms
64 bytes from 10.0.0.2: icmp_req=30 ttl=64 time=0.095 ms
64 bytes from 10.0.0.2: icmp_req=31 ttl=64 time=0.099 ms
64 bytes from 10.0.0.2: icmp_req=32 ttl=64 time=0.101 ms
64 bytes from 10.0.0.2: icmp_req=33 ttl=64 time=0.131 ms
64 bytes from 10.0.0.2: icmp_req=34 ttl=64 time=0.103 ms
64 bytes from 10.0.0.2: icmp_req=35 ttl=64 time=34.0 ms
64 bytes from 10.0.0.2: icmp_req=36 ttl=64 time=0.525 ms
64 bytes from 10.0.0.2: icmp_req=37 ttl=64 time=0.105 ms
64 bytes from 10.0.0.2: icmp_req=38 ttl=64 time=0.126 ms
