h1 ping -c100 h5

PING 10.0.0.5 (10.0.0.5) 56(84) bytes of data.
64 bytes from 10.0.0.5: icmp_req=1 ttl=64 time=54.9 ms
64 bytes from 10.0.0.5: icmp_req=2 ttl=64 time=38.9 ms
64 bytes from 10.0.0.5: icmp_req=3 ttl=64 time=26.9 ms
64 bytes from 10.0.0.5: icmp_req=4 ttl=64 time=10.3 ms
64 bytes from 10.0.0.5: icmp_req=5 ttl=64 time=49.0 ms
64 bytes from 10.0.0.5: icmp_req=6 ttl=64 time=32.5 ms
64 bytes from 10.0.0.5: icmp_req=7 ttl=64 time=40.0 ms
64 bytes from 10.0.0.5: icmp_req=8 ttl=64 time=22.5 ms
64 bytes from 10.0.0.5: icmp_req=9 ttl=64 time=47.8 ms
64 bytes from 10.0.0.5: icmp_req=10 ttl=64 time=36.0 ms
64 bytes from 10.0.0.5: icmp_req=11 ttl=64 time=17.2 ms
64 bytes from 10.0.0.5: icmp_req=12 ttl=64 time=47.2 ms
64 bytes from 10.0.0.5: icmp_req=13 ttl=64 time=29.8 ms
64 bytes from 10.0.0.5: icmp_req=14 ttl=64 time=11.5 ms
64 bytes from 10.0.0.5: icmp_req=15 ttl=64 time=45.6 ms
64 bytes from 10.0.0.5: icmp_req=16 ttl=64 time=25.7 ms
64 bytes from 10.0.0.5: icmp_req=17 ttl=64 time=58.1 ms
64 bytes from 10.0.0.5: icmp_req=18 ttl=64 time=41.6 ms
64 bytes from 10.0.0.5: icmp_req=19 ttl=64 time=30.1 ms
64 bytes from 10.0.0.5: icmp_req=20 ttl=64 time=15.0 ms
64 bytes from 10.0.0.5: icmp_req=21 ttl=64 time=50.8 ms
64 bytes from 10.0.0.5: icmp_req=22 ttl=64 time=32.9 ms
64 bytes from 10.0.0.5: icmp_req=23 ttl=64 time=17.1 ms
64 bytes from 10.0.0.5: icmp_req=24 ttl=64 time=50.3 ms
64 bytes from 10.0.0.5: icmp_req=25 ttl=64 time=33.6 ms
64 bytes from 10.0.0.5: icmp_req=26 ttl=64 time=10.0 ms
64 bytes from 10.0.0.5: icmp_req=27 ttl=64 time=43.6 ms
