h1 ping -c100 h4

PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_req=84 ttl=64 time=91.4 ms
64 bytes from 10.0.0.4: icmp_req=85 ttl=64 time=35.0 ms
64 bytes from 10.0.0.4: icmp_req=86 ttl=64 time=18.2 ms
64 bytes from 10.0.0.4: icmp_req=87 ttl=64 time=48.5 ms
64 bytes from 10.0.0.4: icmp_req=88 ttl=64 time=30.8 ms
64 bytes from 10.0.0.4: icmp_req=89 ttl=64 time=12.6 ms
64 bytes from 10.0.0.4: icmp_req=90 ttl=64 time=42.7 ms
64 bytes from 10.0.0.4: icmp_req=91 ttl=64 time=25.0 ms
64 bytes from 10.0.0.4: icmp_req=92 ttl=64 time=55.8 ms
64 bytes from 10.0.0.4: icmp_req=93 ttl=64 time=38.5 ms
64 bytes from 10.0.0.4: icmp_req=94 ttl=64 time=21.4 ms
64 bytes from 10.0.0.4: icmp_req=95 ttl=64 time=55.1 ms
64 bytes from 10.0.0.4: icmp_req=96 ttl=64 time=36.0 ms
64 bytes from 10.0.0.4: icmp_req=97 ttl=64 time=18.0 ms
64 bytes from 10.0.0.4: icmp_req=98 ttl=64 time=49.7 ms
64 bytes from 10.0.0.4: icmp_req=99 ttl=64 time=32.5 ms
64 bytes from 10.0.0.4: icmp_req=100 ttl=64 time=14.9 ms

--- 10.0.0.4 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99178ms
rtt min/avg/max/mdev = 7.952/34.971/122.181/18.452 ms
