h1 ping -c100 h2

PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_req=1 ttl=64 time=46.8 ms
64 bytes from 10.0.0.2: icmp_req=2 ttl=64 time=23.5 ms
64 bytes from 10.0.0.2: icmp_req=3 ttl=64 time=51.7 ms
64 bytes from 10.0.0.2: icmp_req=4 ttl=64 time=30.3 ms
64 bytes from 10.0.0.2: icmp_req=5 ttl=64 time=5.39 ms
64 bytes from 10.0.0.2: icmp_req=6 ttl=64 time=50.8 ms
64 bytes from 10.0.0.2: icmp_req=7 ttl=64 time=26.2 ms
64 bytes from 10.0.0.2: icmp_req=8 ttl=64 time=4.46 ms
64 bytes from 10.0.0.2: icmp_req=9 ttl=64 time=34.2 ms
64 bytes from 10.0.0.2: icmp_req=10 ttl=64 time=13.9 ms
64 bytes from 10.0.0.2: icmp_req=11 ttl=64 time=12.6 ms
64 bytes from 10.0.0.2: icmp_req=12 ttl=64 time=40.9 ms
64 bytes from 10.0.0.2: icmp_req=13 ttl=64 time=18.3 ms
64 bytes from 10.0.0.2: icmp_req=14 ttl=64 time=45.1 ms
64 bytes from 10.0.0.2: icmp_req=15 ttl=64 time=19.7 ms
64 bytes from 10.0.0.2: icmp_req=16 ttl=64 time=12.4 ms
64 bytes from 10.0.0.2: icmp_req=17 ttl=64 time=41.6 ms
64 bytes from 10.0.0.2: icmp_req=18 ttl=64 time=17.6 ms
64 bytes from 10.0.0.2: icmp_req=19 ttl=64 time=46.7 ms
64 bytes from 10.0.0.2: icmp_req=20 ttl=64 time=25.8 ms
64 bytes from 10.0.0.2: icmp_req=21 ttl=64 time=25.5 ms
64 bytes from 10.0.0.2: icmp_req=22 ttl=64 time=4.44 ms
64 bytes from 10.0.0.2: icmp_req=23 ttl=64 time=28.3 ms
64 bytes from 10.0.0.2: icmp_req=24 ttl=64 time=57.9 ms
64 bytes from 10.0.0.2: icmp_req=25 ttl=64 time=34.1 ms
64 bytes from 10.0.0.2: icmp_req=26 ttl=64 time=27.7 ms
64 bytes from 10.0.0.2: icmp_req=27 ttl=64 time=4.89 ms
64 bytes from 10.0.0.2: icmp_req=28 ttl=64 time=35.6 ms
64 bytes from 10.0.0.2: icmp_req=29 ttl=64 time=11.7 ms
64 bytes from 10.0.0.2: icmp_req=30 ttl=64 time=40.5 ms
64 bytes from 10.0.0.2: icmp_req=31 ttl=64 time=36.3 ms
64 bytes from 10.0.0.2: icmp_req=32 ttl=64 time=13.8 ms
64 bytes from 10.0.0.2: icmp_req=33 ttl=64 time=43.0 ms
64 bytes from 10.0.0.2: icmp_req=34 ttl=64 time=22.0 ms
64 bytes from 10.0.0.2: icmp_req=35 ttl=64 time=48.0 ms
64 bytes from 10.0.0.2: icmp_req=36 ttl=64 time=43.7 ms
64 bytes from 10.0.0.2: icmp_req=37 ttl=64 time=23.6 ms
64 bytes from 10.0.0.2: icmp_req=38 ttl=64 time=1.45 ms
64 bytes from 10.0.0.2: icmp_req=39 ttl=64 time=32.8 ms
64 bytes from 10.0.0.2: icmp_req=40 ttl=64 time=6.23 ms
64 bytes from 10.0.0.2: icmp_req=41 ttl=64 time=4.22 ms
64 bytes from 10.0.0.2: icmp_req=42 ttl=64 time=32.8 ms
64 bytes from 10.0.0.2: icmp_req=43 ttl=64 time=8.03 ms
64 bytes from 10.0.0.2: icmp_req=44 ttl=64 time=35.0 ms
64 bytes from 10.0.0.2: icmp_req=45 ttl=64 time=13.5 ms
64 bytes from 10.0.0.2: icmp_req=46 ttl=64 time=9.62 ms
64 bytes from 10.0.0.2: icmp_req=47 ttl=64 time=35.7 ms
64 bytes from 10.0.0.2: icmp_req=48 ttl=64 time=19.6 ms
64 bytes from 10.0.0.2: icmp_req=49 ttl=64 time=46.6 ms
64 bytes from 10.0.0.2: icmp_req=50 ttl=64 time=23.8 ms
64 bytes from 10.0.0.2: icmp_req=51 ttl=64 time=17.7 ms
64 bytes from 10.0.0.2: icmp_req=52 ttl=64 time=43.9 ms
64 bytes from 10.0.0.2: icmp_req=53 ttl=64 time=21.5 ms
64 bytes from 10.0.0.2: icmp_req=54 ttl=64 time=50.9 ms
64 bytes from 10.0.0.2: icmp_req=55 ttl=64 time=29.0 ms
64 bytes from 10.0.0.2: icmp_req=56 ttl=64 time=26.0 ms
64 bytes from 10.0.0.2: icmp_req=57 ttl=64 time=5.56 ms
64 bytes from 10.0.0.2: icmp_req=58 ttl=64 time=32.7 ms
64 bytes from 10.0.0.2: icmp_req=59 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_req=60 ttl=64 time=40.5 ms
64 bytes from 10.0.0.2: icmp_req=61 ttl=64 time=38.8 ms
64 bytes from 10.0.0.2: icmp_req=62 ttl=64 time=16.5 ms
64 bytes from 10.0.0.2: icmp_req=63 ttl=64 time=45.0 ms
64 bytes from 10.0.0.2: icmp_req=64 ttl=64 time=22.8 ms
64 bytes from 10.0.0.2: icmp_req=65 ttl=64 time=52.1 ms
64 bytes from 10.0.0.2: icmp_req=66 ttl=64 time=47.0 ms
64 bytes from 10.0.0.2: icmp_req=67 ttl=64 time=26.9 ms
64 bytes from 10.0.0.2: icmp_req=68 ttl=64 time=4.17 ms
64 bytes from 10.0.0.2: icmp_req=69 ttl=64 time=32.7 ms
64 bytes from 10.0.0.2: icmp_req=70 ttl=64 time=10.2 ms
64 bytes from 10.0.0.2: icmp_req=71 ttl=64 time=3.78 ms
64 bytes from 10.0.0.2: icmp_req=72 ttl=64 time=31.4 ms
64 bytes from 10.0.0.2: icmp_req=73 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_req=74 ttl=64 time=40.5 ms
64 bytes from 10.0.0.2: icmp_req=75 ttl=64 time=17.7 ms
64 bytes from 10.0.0.2: icmp_req=76 ttl=64 time=8.86 ms
64 bytes from 10.0.0.2: icmp_req=77 ttl=64 time=38.4 ms
64 bytes from 10.0.0.2: icmp_req=78 ttl=64 time=19.3 ms
64 bytes from 10.0.0.2: icmp_req=79 ttl=64 time=85.7 ms
64 bytes from 10.0.0.2: icmp_req=80 ttl=64 time=24.7 ms
64 bytes from 10.0.0.2: icmp_req=81 ttl=64 time=15.5 ms
64 bytes from 10.0.0.2: icmp_req=82 ttl=64 time=45.3 ms
