h1 pinc -c100 h5

PING 10.0.0.5 (10.0.0.5) 56(84) bytes of data.
64 bytes from 10.0.0.5: icmp_req=84 ttl=64 time=37.1 ms
64 bytes from 10.0.0.5: icmp_req=85 ttl=64 time=24.5 ms
64 bytes from 10.0.0.5: icmp_req=86 ttl=64 time=10.6 ms
64 bytes from 10.0.0.5: icmp_req=87 ttl=64 time=42.2 ms
64 bytes from 10.0.0.5: icmp_req=88 ttl=64 time=23.3 ms
64 bytes from 10.0.0.5: icmp_req=89 ttl=64 time=56.2 ms
64 bytes from 10.0.0.5: icmp_req=90 ttl=64 time=40.2 ms
64 bytes from 10.0.0.5: icmp_req=91 ttl=64 time=19.8 ms
64 bytes from 10.0.0.5: icmp_req=92 ttl=64 time=52.3 ms
64 bytes from 10.0.0.5: icmp_req=93 ttl=64 time=34.8 ms
64 bytes from 10.0.0.5: icmp_req=94 ttl=64 time=15.4 ms
64 bytes from 10.0.0.5: icmp_req=95 ttl=64 time=46.2 ms
64 bytes from 10.0.0.5: icmp_req=96 ttl=64 time=27.8 ms
64 bytes from 10.0.0.5: icmp_req=97 ttl=64 time=9.05 ms
64 bytes from 10.0.0.5: icmp_req=98 ttl=64 time=42.0 ms
64 bytes from 10.0.0.5: icmp_req=99 ttl=64 time=37.0 ms
64 bytes from 10.0.0.5: icmp_req=100 ttl=64 time=21.9 ms

--- 10.0.0.5 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99178ms
rtt min/avg/max/mdev = 8.818/34.135/61.210/15.037 ms
